"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6238","@Webst Client App login","","Mon Jun 16 21:27:23 IST 2025","passed","Mon Jun 16 21:27:30 IST 2025","","UiBasicstest.spec.js","",""
"","239","create order","","Mon Jun 16 21:27:08 IST 2025","passed","Mon Jun 16 21:27:08 IST 2025","","APItesting.spec.js","",""
"","3006","Playwright Special locators","","Mon Jun 16 21:27:00 IST 2025","passed","Mon Jun 16 21:27:03 IST 2025","","InbuildLocater.spec.js","",""
"","3866","client app login","","Tue Jun 17 17:55:14 IST 2025","passed","Tue Jun 17 17:55:18 IST 2025","","APItesting.spec.js","",""
"","2820","get started link","","Mon Jun 16 21:27:02 IST 2025","passed","Mon Jun 16 21:27:05 IST 2025","","example.spec.js","",""
"","3405","first playwright Test","","Mon Jun 16 21:27:00 IST 2025","passed","Mon Jun 16 21:27:03 IST 2025","","UiBasicstest.spec.js","",""
"","1401","@API Place the order","","Tue Jun 17 17:53:59 IST 2025","passed","Tue Jun 17 17:54:00 IST 2025","","APItesting.spec.js","",""
"","1761","has title","","Mon Jun 16 21:27:00 IST 2025","passed","Mon Jun 16 21:27:01 IST 2025","","example.spec.js","",""
"","8373","login test","","Mon Jun 16 21:27:14 IST 2025","failed","Mon Jun 16 21:27:23 IST 2025","","UiBasicstest.spec.js","",""
"","5075","handle Mouse Actions","","Mon Jun 16 23:15:49 IST 2025","passed","Mon Jun 16 23:15:54 IST 2025","","UiBasicstest.spec.js","",""
"","27159","handle browser actions","","Mon Jun 16 21:27:34 IST 2025","passed","Mon Jun 16 21:28:01 IST 2025","","UiBasicstest.spec.js","",""
"","2896","Calendar validations","","Mon Jun 16 21:27:31 IST 2025","passed","Mon Jun 16 21:27:34 IST 2025","","UiBasicstest.spec.js","",""
"","2592","secont test","","Mon Jun 16 21:27:04 IST 2025","passed","Mon Jun 16 21:27:07 IST 2025","","UiBasicstest.spec.js","",""
"","5362","Browser new Context @newContext @browsercontext","","Mon Jun 16 23:18:43 IST 2025","passed","Mon Jun 16 23:18:49 IST 2025","","UiBasicstest.spec.js","",""
"","30216","handle Iframes","","Mon Jun 16 23:15:07 IST 2025","broken","Mon Jun 16 23:15:37 IST 2025","","UiBasicstest.spec.js","",""
"","5543","handle JS based Popup","","Mon Jun 16 21:28:02 IST 2025","passed","Mon Jun 16 21:28:07 IST 2025","","UiBasicstest.spec.js","",""
"","947","handel child window","","Mon Jun 16 21:27:30 IST 2025","passed","Mon Jun 16 21:27:31 IST 2025","","UiBasicstest.spec.js","",""
"","7617","register test","","Mon Jun 16 21:27:07 IST 2025","passed","Mon Jun 16 21:27:14 IST 2025","","UiBasicstest.spec.js","",""
